candidate_id,rank,score,reasoning
CAND_0075574,11,0.939309,"Machine Learning Engineer with 5.7 yrs at Haptik; prior role as Machine Learning Engineer at Observe.AI; strong depth in BM25, Elasticsearch, OpenSearch; good engagement (58% response rate)."
CAND_0042506,12,0.936429,"Search Engineer with 4.2 yrs at Verloop.io; prior role as Search Engineer at Verloop.io; strong depth in Deep Learning, FAISS, Fine-tuning LLMs; active GitHub contributor (score: 64)."
CAND_0075249,13,0.932115,"Applied ML Engineer with 6.2 yrs at Zomato; prior role as Applied ML Engineer at Zomato; strong depth in BM25, Fine-tuning LLMs, Machine Learning; highly responsive (82% response rate)."
CAND_0046064,14,0.927037,"Senior NLP Engineer with 8.9 yrs at Salesforce; prior role as Senior NLP Engineer at Salesforce; strong depth in BM25, Elasticsearch, Pinecone; highly responsive (78% response rate); active GitHub contributor (score: 67)."
CAND_0081846,15,0.926803,"Lead AI Engineer with 6.7 yrs at Razorpay; prior role as Lead AI Engineer at Razorpay; strong depth in BM25, Elasticsearch, Embeddings; highly responsive (73% response rate)."
CAND_0083879,16,0.924851,"Machine Learning Engineer with 7.1 yrs at Ola; prior role as Machine Learning Engineer at Ola; strong depth in Fine-tuning LLMs, Hugging Face Transformers, Machine Learning; Noida, Uttar Pradesh-based (preferred location)."
CAND_0076251,17,0.924103,"Search Engineer with 7.6 yrs at Haptik; prior role as Search Engineer at Haptik; strong depth in Hugging Face Transformers, Elasticsearch, Fine-tuning LLMs; good engagement (51% response rate)."
CAND_0017960,18,0.921572,"Recommendation Systems Engineer with 7.7 yrs at Nykaa; prior role as Recommendation Systems Engineer at Nykaa; strong depth in Hugging Face Transformers, Information Retrieval, QLoRA; highly responsive (72% response rate); active GitHub contributor (score: 92)."
CAND_0005649,19,0.920370,"Senior Data Scientist with 7.4 yrs at Sarvam AI; prior role as Senior Data Scientist at Sarvam AI; strong depth in Deep Learning, Fine-tuning LLMs, Information Retrieval; good engagement (57% response rate); Delhi, Delhi-based (preferred location); active GitHub contributor (score: 81)."
CAND_0002025,20,0.919417,"Senior AI Engineer with 5.9 yrs at Apple; prior role as Senior AI Engineer at Apple; strong depth in Deep Learning, FAISS, LangChain; highly responsive (80% response rate); active GitHub contributor (score: 97)."
CAND_0054123,21,0.919210,"Applied ML Engineer with 4.7 yrs at Meta; prior role as Applied ML Engineer at Meta; strong depth in Fine-tuning LLMs, LLMs, LangChain; highly responsive (87% response rate); Gurgaon, Haryana-based (preferred location); active GitHub contributor (score: 72); minor note: not marked as open to work."
CAND_0093912,22,0.918688,"Senior Data Scientist with 5.3 yrs at Razorpay; prior role as Search Engineer at Flipkart; strong depth in Elasticsearch, Embeddings, Milvus; good engagement (66% response rate); active GitHub contributor (score: 82)."
CAND_0086151,23,0.918410,"Recommendation Systems Engineer with 7.7 yrs at Wysa; prior role as Search Engineer at Glance; strong depth in Elasticsearch, Embeddings, LangChain; good engagement (52% response rate); active GitHub contributor (score: 52); minor note: long notice period (120 days)."
CAND_0070398,24,0.916493,"Machine Learning Engineer with 7.2 yrs at Genpact AI; prior role as Machine Learning Engineer at Genpact AI; strong depth in BM25, Embeddings, FAISS; good engagement (60% response rate); active GitHub contributor (score: 63); minor note: long notice period (120 days)."
CAND_0050454,25,0.916177,"AI Engineer with 6.8 yrs at Rephrase.ai; prior role as AI Engineer at Rephrase.ai; strong depth in BM25, FAISS, Fine-tuning LLMs; highly responsive (77% response rate); Delhi, Delhi-based (preferred location)."
CAND_0076831,26,0.912929,"Search Engineer with 4.0 yrs at Krutrim; prior role as Search Engineer at Krutrim; strong depth in Fine-tuning LLMs, LLMs, Milvus; Delhi, Delhi-based (preferred location)."
CAND_0071974,27,0.910977,"Senior AI Engineer with 7.8 yrs at Netflix; prior role as Senior AI Engineer at Netflix; strong depth in BM25, Elasticsearch, Embeddings; highly responsive (76% response rate); active GitHub contributor (score: 83)."
CAND_0010257,28,0.910318,"Senior Data Scientist with 6.5 yrs at Google; prior role as Senior Data Scientist at Google; strong depth in Milvus, Python, Qdrant; highly responsive (72% response rate); Noida, Uttar Pradesh-based (preferred location); minor note: long notice period (120 days)."
CAND_0009691,29,0.909245,"Applied ML Engineer with 6.2 yrs at LinkedIn; prior role as Applied ML Engineer at LinkedIn; strong depth in Fine-tuning LLMs, LangChain, LoRA; good engagement (64% response rate); active GitHub contributor (score: 68); minor note: long notice period (120 days)."
CAND_0066376,30,0.908850,"Applied ML Engineer with 5.7 yrs at Dream11; prior role as Applied ML Engineer at Dream11; strong depth in BM25, Deep Learning, FAISS; good engagement (51% response rate)."
CAND_0088025,31,0.908418,"Staff Machine Learning Engineer with 8.6 yrs at Yellow.ai; prior role as Staff Machine Learning Engineer at Yellow.ai; strong depth in BM25, Elasticsearch, Hugging Face Transformers; highly responsive (83% response rate); active GitHub contributor (score: 75)."
CAND_0041610,32,0.908213,"Recommendation Systems Engineer with 6.7 yrs at Zoho; prior role as Applied ML Engineer at Observe.AI; strong depth in BM25, Elasticsearch, OpenSearch; good engagement (52% response rate); active GitHub contributor (score: 52)."
CAND_0086022,33,0.908065,"Senior Applied Scientist with 5.3 yrs at Sarvam AI; prior role as Senior Applied Scientist at Sarvam AI; strong depth in Embeddings, Fine-tuning LLMs, LangChain; good engagement (55% response rate); active GitHub contributor (score: 75)."
CAND_0040117,34,0.908034,"Recommendation Systems Engineer with 6.5 yrs at PhonePe; prior role as Recommendation Systems Engineer at PhonePe; strong depth in BM25, Embeddings, FAISS; good engagement (66% response rate)."
CAND_0028793,35,0.907736,"Search Engineer with 7.2 yrs at Google; prior role as Search Engineer at Google; strong depth in Embeddings, Information Retrieval, LoRA; good engagement (57% response rate); active GitHub contributor (score: 83); some concern on long notice period (120 days)."
CAND_0081053,36,0.907170,"NLP Engineer with 5.4 yrs at Glance; prior role as NLP Engineer at Glance; strong depth in LoRA, Machine Learning, OpenSearch; highly responsive (83% response rate); active GitHub contributor (score: 78)."
CAND_0052682,37,0.906374,"NLP Engineer with 6.6 yrs at Aganitha; prior role as NLP Engineer at Aganitha; strong depth in Embeddings, FAISS, Fine-tuning LLMs; highly responsive (88% response rate); active GitHub contributor (score: 72)."
CAND_0080766,38,0.901799,"Staff Machine Learning Engineer with 8.8 yrs at Salesforce; prior role as Lead AI Engineer at Swiggy; strong depth in Deep Learning, LoRA, Python; good engagement (66% response rate); some concern on not marked as open to work."
CAND_0089552,39,0.901632,"Machine Learning Engineer with 6.0 yrs at Netflix; prior role as Machine Learning Engineer at Netflix; strong depth in BM25, Fine-tuning LLMs, Machine Learning; some concern on long notice period (120 days)."
CAND_0031593,40,0.900364,"Search Engineer with 7.8 yrs at Genpact AI; prior role as NLP Engineer at Unacademy; strong depth in BM25, Elasticsearch, Embeddings; good engagement (58% response rate)."
CAND_0007412,41,0.899792,"Applied ML Engineer with 7.4 yrs at Zoho; prior role as Applied ML Engineer at Zoho; strong depth in BM25, Pinecone, PyTorch; highly responsive (76% response rate); Noida, Uttar Pradesh-based (preferred location); some concern on long notice period (120 days)."
CAND_0069905,42,0.898407,"Applied ML Engineer with 6.6 yrs at Sarvam AI; prior role as Applied ML Engineer at Sarvam AI; strong depth in LangChain, LoRA, Python; highly responsive (78% response rate)."
CAND_0027801,43,0.898357,"NLP Engineer with 7.4 yrs at InMobi; prior role as NLP Engineer at InMobi; strong depth in FAISS, Milvus, OpenSearch; good engagement (65% response rate); active GitHub contributor (score: 63); some concern on long notice period (120 days)."
CAND_0055905,44,0.897977,"Senior Machine Learning Engineer with 8.1 yrs at Flipkart; prior role as Senior Machine Learning Engineer at Flipkart; strong depth in Elasticsearch, Embeddings, LangChain; highly responsive (87% response rate)."
CAND_0044855,45,0.897581,"Senior Data Scientist with 6.6 yrs at Flipkart; prior role as Senior Data Scientist at Flipkart; strong depth in Embeddings, Information Retrieval, Machine Learning; good engagement (57% response rate); some concern on not marked as open to work."
CAND_0011687,46,0.895057,"Senior NLP Engineer with 7.8 yrs at Niramai; prior role as Senior NLP Engineer at Niramai; strong depth in Embeddings, LangChain, OpenSearch; highly responsive (89% response rate); active GitHub contributor (score: 76)."
CAND_0074225,47,0.894207,"Machine Learning Engineer with 4.3 yrs at Unacademy; prior role as Machine Learning Engineer at Unacademy; strong depth in Elasticsearch, Hugging Face Transformers, Machine Learning; highly responsive (91% response rate); active GitHub contributor (score: 54); some concern on long notice period (120 days)."
CAND_0083307,48,0.893982,"Search Engineer with 7.8 yrs at CRED; prior role as Search Engineer at CRED; strong depth in Deep Learning, Embeddings, Pinecone; good engagement (70% response rate); active GitHub contributor (score: 69); some concern on long notice period (120 days)."
CAND_0049896,49,0.893671,"Search Engineer with 7.3 yrs at Unacademy; prior role as Search Engineer at Unacademy; strong depth in Fine-tuning LLMs, Information Retrieval, LangChain."
CAND_0098846,50,0.893275,"AI Engineer with 7.6 yrs at upGrad; prior role as Machine Learning Engineer at Meesho; strong depth in Hugging Face Transformers, Machine Learning, QLoRA; good engagement (62% response rate); active GitHub contributor (score: 86)."
CAND_0026532,51,0.892806,"Recommendation Systems Engineer with 4.8 yrs at Zomato; prior role as Recommendation Systems Engineer at Zomato; strong depth in Embeddings, Milvus, Semantic Search; good engagement (52% response rate); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0018722,52,0.892273,"Recommendation Systems Engineer with 6.6 yrs at Saarthi.ai; prior role as Recommendation Systems Engineer at Saarthi.ai; strong depth in Hugging Face Transformers, Python, TensorFlow; highly responsive (79% response rate); active GitHub contributor (score: 94); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0055992,53,0.892038,"AI Engineer with 16.9 yrs at CRED; prior role as AI Engineer at CRED; strong depth in Deep Learning, FAISS, Fine-tuning LLMs; highly responsive (72% response rate); active GitHub contributor (score: 65); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0084819,54,0.890695,"Search Engineer with 4.5 yrs at Dream11; prior role as Search Engineer at Dream11; strong depth in BM25, Information Retrieval, LoRA; highly responsive (74% response rate); active GitHub contributor (score: 56); concerns: long notice period (120 days)."
CAND_0008425,55,0.889743,"Senior NLP Engineer with 7.8 yrs at Ola; prior role as Senior NLP Engineer at Ola; strong depth in Hugging Face Transformers, Information Retrieval, LoRA; good engagement (66% response rate); active GitHub contributor (score: 53); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0060054,56,0.886883,"AI Engineer with 6.4 yrs at Mad Street Den; prior role as AI Engineer at Mad Street Den; strong depth in Elasticsearch, Recommendation Systems, Semantic Search; highly responsive (86% response rate); concerns: not marked as open to work."
CAND_0053695,57,0.886875,"Recommendation Systems Engineer with 5.8 yrs at Meesho; prior role as Recommendation Systems Engineer at Meesho; strong depth in Embeddings, LangChain, Pinecone; good engagement (60% response rate); active GitHub contributor (score: 68); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0029367,58,0.885002,"Senior Data Scientist with 5.7 yrs at Rephrase.ai; prior role as Senior Data Scientist at Rephrase.ai; strong depth in FAISS, LangChain, NLP; highly responsive (77% response rate); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0005260,59,0.883314,"Senior NLP Engineer with 5.2 yrs at Netflix; prior role as Senior NLP Engineer at Netflix; strong depth in Deep Learning, Embeddings, LoRA; highly responsive (86% response rate); concerns: not marked as open to work."
CAND_0000031,60,0.883150,"Recommendation Systems Engineer with 6.0 yrs at Swiggy; prior role as Recommendation Systems Engineer at Swiggy; strong depth in Embeddings, Hugging Face Transformers, Information Retrieval; highly responsive (91% response rate); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0007009,61,0.882111,"Recommendation Systems Engineer with 7.9 yrs at Wysa; prior role as Recommendation Systems Engineer at Wysa; strong depth in BM25, Embeddings, LoRA; good engagement (62% response rate); Noida, Uttar Pradesh-based (preferred location); active GitHub contributor (score: 69); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0039754,62,0.880015,"Senior Applied Scientist with 16.2 yrs at Meta; prior role as Senior Applied Scientist at Meta; strong depth in Deep Learning, Elasticsearch, Fine-tuning LLMs; highly responsive (81% response rate); active GitHub contributor (score: 78); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0037000,63,0.877915,"Search Engineer with 2.7 yrs at Unacademy; prior role as Search Engineer at Unacademy; strong depth in FAISS, LangChain, BM25; good engagement (61% response rate); Noida, Uttar Pradesh-based (preferred location); active GitHub contributor (score: 67); concerns: not marked as open to work."
CAND_0045250,64,0.877667,"Applied ML Engineer with 6.6 yrs at Rephrase.ai; prior role as Applied ML Engineer at Rephrase.ai; strong depth in BM25, Embeddings, LangChain; highly responsive (74% response rate); Delhi, Delhi-based (preferred location); concerns: not marked as open to work."
CAND_0050876,65,0.876849,"Applied ML Engineer with 6.0 yrs at Freshworks; prior role as AI Engineer at Yellow.ai; strong depth in OpenSearch, Python, QLoRA; good engagement (67% response rate); active GitHub contributor (score: 86); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0042029,66,0.876434,"Senior Data Scientist with 6.5 yrs at Flipkart; prior role as Senior Data Scientist at Flipkart; strong depth in Deep Learning, Embeddings, NLP; good engagement (67% response rate); Delhi, Delhi-based (preferred location); active GitHub contributor (score: 79); concerns: not marked as open to work."
CAND_0011162,67,0.875585,"Recommendation Systems Engineer with 5.8 yrs at upGrad; prior role as Recommendation Systems Engineer at upGrad; strong depth in Embeddings, FAISS, LangChain; highly responsive (75% response rate); note: solid profile but narrower domain coverage than higher-ranked candidates."
CAND_0064270,68,0.874651,"Applied ML Engineer with 4.2 yrs at Verloop.io; prior role as Applied ML Engineer at Verloop.io; strong depth in BM25, Elasticsearch, Embeddings; highly responsive (82% response rate); Pune, Maharashtra-based (preferred location); concerns: not marked as open to work."
CAND_0057563,69,0.873706,"NLP Engineer with 6.8 yrs at Locobuzz; prior role as Machine Learning Engineer at Yellow.ai; strong depth in Deep Learning, Elasticsearch, Hugging Face Transformers; highly responsive (83% response rate); concerns: not marked as open to work."
CAND_0081686,70,0.873622,"Search Engineer with 6.0 yrs at Netflix; prior role as Recommendation Systems Engineer at Niramai; strong depth in Embeddings, FAISS, LLMs; highly responsive (91% response rate); concerns: not marked as open to work."
CAND_0001610,71,0.873300,"Machine Learning Engineer with 3.0 yrs at Dream11; prior role as Machine Learning Engineer at Dream11; strong depth in Deep Learning, FAISS, Fine-tuning LLMs; good engagement (57% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0061265,72,0.873155,"Recommendation Systems Engineer with 6.6 yrs at Zoho; prior role as Recommendation Systems Engineer at Zoho; strong depth in Embeddings, Hugging Face Transformers, LangChain; highly responsive (94% response rate); Delhi, Delhi-based (preferred location); active GitHub contributor (score: 80); concerns: long notice period (120 days)."
CAND_0016163,73,0.872733,"Applied ML Engineer with 6.7 yrs at Dream11; prior role as Applied ML Engineer at Dream11; strong depth in Machine Learning, TensorFlow, Weaviate; highly responsive (72% response rate); Gurgaon, Haryana-based (preferred location); active GitHub contributor (score: 95); concerns: long notice period (120 days)."
CAND_0077285,74,0.872636,"Recommendation Systems Engineer with 5.5 yrs at Nykaa; prior role as Recommendation Systems Engineer at Nykaa; strong depth in Embeddings, Fine-tuning LLMs, Information Retrieval; good engagement (56% response rate); active GitHub contributor (score: 76); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0091909,75,0.872387,"Machine Learning Engineer with 6.9 yrs at Rephrase.ai; prior role as Machine Learning Engineer at Rephrase.ai; strong depth in Hugging Face Transformers, LLMs, LangChain; good engagement (65% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0079064,76,0.870961,"Senior Data Scientist with 5.2 yrs at Niramai; prior role as Senior Data Scientist at Niramai; strong depth in Fine-tuning LLMs, OpenSearch, Pinecone; highly responsive (91% response rate); Noida, Uttar Pradesh-based (preferred location); concerns: long notice period (120 days)."
CAND_0095528,77,0.870193,"Senior Data Scientist with 5.3 yrs at Netflix; prior role as Senior Data Scientist at Netflix; strong depth in Elasticsearch, Fine-tuning LLMs, PyTorch; good engagement (55% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0030031,78,0.869841,"AI Engineer with 5.7 yrs at Microsoft; prior role as AI Engineer at Microsoft; strong depth in LoRA, NLP, Python; highly responsive (94% response rate); concerns: not marked as open to work."
CAND_0018549,79,0.869722,"Recommendation Systems Engineer with 6.8 yrs at Uber; prior role as Machine Learning Engineer at Flipkart; strong depth in Elasticsearch, Fine-tuning LLMs, LangChain; highly responsive (73% response rate); active GitHub contributor (score: 56); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0013613,80,0.869499,"Machine Learning Engineer with 4.7 yrs at Adobe; prior role as Machine Learning Engineer at Adobe; strong depth in Fine-tuning LLMs, LoRA, Machine Learning; highly responsive (73% response rate); active GitHub contributor (score: 67); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0010685,81,0.864800,"NLP Engineer with 6.7 yrs at Rephrase.ai; prior role as NLP Engineer at Microsoft; strong depth in Elasticsearch, Information Retrieval, PyTorch; highly responsive (83% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0044883,82,0.864359,"AI Engineer with 6.3 yrs at Mad Street Den; prior role as AI Engineer at Mad Street Den; strong depth in BM25, Deep Learning, Fine-tuning LLMs; highly responsive (84% response rate); active GitHub contributor (score: 70); concerns: not marked as open to work."
CAND_0011432,83,0.863534,"Senior Data Scientist with 7.6 yrs at Amazon; prior role as Senior Data Scientist at Amazon; strong depth in QLoRA, pgvector, Elasticsearch; good engagement (67% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0070485,84,0.862772,"Search Engineer with 6.4 yrs at Saarthi.ai; prior role as Search Engineer at Saarthi.ai; strong depth in Deep Learning, FAISS, Recommendation Systems; concerns: long notice period (120 days)."
CAND_0036863,85,0.862549,"Senior Data Scientist with 4.3 yrs at upGrad; prior role as AI Engineer at Wysa; strong depth in FAISS, LoRA, OpenSearch; note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0053591,86,0.862261,"AI Engineer with 5.3 yrs at Ola; prior role as AI Engineer at Ola; strong depth in OpenSearch, Qdrant, Sentence Transformers; highly responsive (81% response rate); active GitHub contributor (score: 76); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0052328,87,0.862229,"Recommendation Systems Engineer with 6.5 yrs at Amazon; prior role as Recommendation Systems Engineer at Amazon; strong depth in OpenSearch, QLoRA, Sentence Transformers; highly responsive (79% response rate); Pune, Maharashtra-based (preferred location); active GitHub contributor (score: 78); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0039838,88,0.860917,"Recommendation Systems Engineer with 4.9 yrs at Amazon; prior role as Recommendation Systems Engineer at Amazon; strong depth in Fine-tuning LLMs, LoRA, Milvus; highly responsive (80% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0064904,89,0.860227,"AI Engineer with 4.9 yrs at LinkedIn; prior role as AI Engineer at LinkedIn; strong depth in Elasticsearch, Embeddings, LLMs; highly responsive (78% response rate); active GitHub contributor (score: 59); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0010770,90,0.858027,"Recommendation Systems Engineer with 15.2 yrs at Aganitha; prior role as Recommendation Systems Engineer at Aganitha; strong depth in Qdrant, TensorFlow, pgvector; highly responsive (73% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0058575,91,0.857878,"AI Engineer with 5.8 yrs at Krutrim; prior role as AI Engineer at Krutrim; strong depth in Hugging Face Transformers, Pinecone, PyTorch; good engagement (69% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0041568,92,0.857600,"Search Engineer with 5.2 yrs at Haptik; prior role as Senior Data Scientist at Salesforce; strong depth in BM25, Pinecone, Qdrant; good engagement (52% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0051004,93,0.856479,"Senior Data Scientist with 4.7 yrs at CRED; prior role as Senior Data Scientist at CRED; strong depth in Fine-tuning LLMs, Qdrant, Vector Search; Delhi, Delhi-based (preferred location); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0058688,94,0.855866,"AI Engineer with 6.7 yrs at Vedantu; prior role as AI Engineer at Vedantu; strong depth in Embeddings, Information Retrieval, Machine Learning; highly responsive (74% response rate); note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0030953,95,0.855222,"Search Engineer with 7.8 yrs at Nykaa; prior role as Search Engineer at Nykaa; strong depth in Hugging Face Transformers, Qdrant, RAG; good engagement (63% response rate); concerns: not marked as open to work."
CAND_0096142,96,0.855060,"Applied ML Engineer with 5.0 yrs at upGrad; prior role as Applied ML Engineer at upGrad; strong depth in BM25, Hugging Face Transformers, NLP; highly responsive (84% response rate); active GitHub contributor (score: 80); concerns: long notice period (120 days)."
CAND_0096172,97,0.854764,"NLP Engineer with 5.2 yrs at Krutrim; prior role as NLP Engineer at Krutrim; strong depth in Elasticsearch, Fine-tuning LLMs, Hugging Face Transformers; active GitHub contributor (score: 65); concerns: not marked as open to work."
CAND_0006557,98,0.854702,"NLP Engineer with 7.9 yrs at Paytm; prior role as Recommendation Systems Engineer at Apple; strong depth in FAISS, Hugging Face Transformers, LangChain; good engagement (63% response rate); concerns: long notice period (120 days)."
CAND_0009024,99,0.854652,"Search Engineer with 5.2 yrs at Google; prior role as Search Engineer at Google; strong depth in LoRA, OpenSearch, Recommendation Systems; note: ranked lower due to weaker JD alignment vs top candidates."
CAND_0070202,100,0.854271,"Machine Learning Engineer with 5.1 yrs at BYJU'S; prior role as Search Engineer at Dream11; strong depth in BM25, Embeddings, Fine-tuning LLMs; good engagement (60% response rate); concerns: not marked as open to work."
